FINALT1: failed (1%)
clock N reset start valid displayout done clockcount
0 3F 0 1 0 2A 0 9F
0 3F 0 1 0 2B 0 A0
0 3F 0 1 0 2B 0 A1
0 3F 0 1 0 2C 0 A2
0 3F 0 1 0 2C 0 A3
0 3F 0 1 0 2D 0 A4
0 3F 0 1 1 2D 0 A5
0 3F 0 1 0 2D 0 A6
0 3F 0 1 0 2E 0 A7
0 3F 0 1 0 2E 0 A8
0 3F 0 1 0 2F 0 A9
0 3F 0 1 0 2F 0 AA
0 3F 0 1 0 0x30 0 AB
0 3F 0 1 1 0x30 0 AC
0 3F 0 1 0 0x30 0 AD
0 3F 0 1 0 0x31 0 AE
0 3F 0 1 0 0x31 0 AF
0 3F 0 1 0 0x32 0 B0
0 3F 0 1 0 0x32 0 B1
0 3F 0 1 0 0x33 0 B2
0 3F 0 1 0 0x33 0 B3
0 3F 0 1 0 0x34 0 B4
0 3F 0 1 0 0x34 0 B5
0 3F 0 1 0 0x35 0 B6
0 3F 0 1 0 0x35 0 B7
0 3F 0 1 0 0x36 0 B8
0 3F 0 1 0 0x36 0 B9
0 3F 0 1 0 0x37 0 BA
0 3F 0 1 0 0x37 0 BB
0 3F 0 1 0 0x38 0 BC
0 3F 0 1 1 0x38 0 BD
0 3F 0 1 0 0x38 0 BE
0 3F 0 1 0 0x39 0 BF
0 3F 0 1 0 0x39 0 C0
0 3F 0 1 0 3A 0 C1
0 3F 0 1 0 3A 0 C2
0 3F 0 1 0 3B 0 C3
0 3F 0 1 0 3B 0 C4
0 3F 0 1 0 3C 0 C5
0 3F 0 1 0 3C 0 C6
0 3F 0 1 0 3D 0 C7
0 3F 0 1 0 3D 0 C8
0 3F 0 1 0 3E 0 C9
0 3F 0 1 0 3E 0 CA
0 3F 0 1 0 3F 0 CB
0 3F 0 1 0 3F 0 CC
0 3F 0 1 0 0x40 0 CD
0 3F 0 1 0 0x40 0 CE
0 3F 0 1 0 0x41 0 CF
0 3F 0 1 0 0x41 0 D0
0 3F 0 1 0 0x42 0 D1
0 3F 0 1 0 0x42 0 D2
0 3F 0 1 0 0x43 0 D3
0 3F 0 1 0 0x43 0 D4
0 3F 0 1 0 0x44 0 D5
0 3F 0 1 0 0x44 0 D6
0 3F 0 1 0 0x45 0 D7
0 3F 0 1 0 0x45 0 D8
0 3F 0 1 0 0x46 0 D9
0 3F 0 1 0 0x46 0 DA
0 3F 0 1 0 0x47 0 DB
0 3F 0 1 0 0x47 0 DC
0 3F 0 1 0 0x48 0 DD
0 3F 0 1 0 0x48 0 DE
0 3F 0 1 0 0x49 0 DF
0 3F 0 1 0 0x49 0 E0
0 3F 0 1 0 4A 0 E1
0 3F 0 1 0 4A 0 E2
0 3F 0 1 0 4B 0 E3
0 3F 0 1 0 4B 0 E4
0 3F 0 1 0 4C 0 E5
0 3F 0 1 0 4C 0 E6
0 3F 0 1 0 4D 0 E7
0 3F 0 1 1 4D 0 E8
0 3F 0 1 0 4D 0 E9
0 3F 0 1 0 4E 0 EA
0 3F 0 1 1 4E 0 EB
0 3F 0 1 0 4E 0 EC
0 3F 0 1 0 4F 0 ED
0 3F 0 1 0 4F 0 EE
0 3F 0 1 0 0x50 0 EF
0 3F 0 1 0 0x50 0 F0
0 3F 0 1 0 0x51 0 F1
0 3F 0 1 0 0x51 0 F2
0 3F 0 1 0 0x52 0 F3
0 3F 0 1 1 0x52 0 F4
0 3F 0 1 0 0x52 0 F5
0 3F 0 1 0 0x53 0 F6
0 3F 0 1 0 0x53 0 F7
0 3F 0 1 0 0x54 0 F8
0 3F 0 1 0 0x54 0 F9
0 3F 0 1 0 0x55 0 FA
0 3F 0 1 1 0x55 0 FB
0 3F 0 1 0 0x55 0 FC
0 3F 0 1 0 0x56 0 FD
0 3F 0 1 0 0x56 0 FE
0 3F 0 1 0 0x57 0 FF
0 3F 0 1 0 0x57 0 0x100
0 3F 0 1 0 0x58 0 0x101
0 3F 0 1 0 0x58 0 0x102
0 3F 0 1 0 0x59 0 0x103
0 3F 0 1 0 0x59 0 0x104
0 3F 0 1 0 5A 0 0x105
0 3F 0 1 0 5A 0 0x106
0 3F 0 1 0 5B 0 0x107
0 3F 0 1 0 5B 0 0x108
0 3F 0 1 0 5C 0 0x109
0 3F 0 1 1 5C 0 10A
0 3F 0 1 0 5C 0 10B
0 3F 0 1 0 5D 0 10C
0 3F 0 1 0 5D 0 10D
0 3F 0 1 0 5E 0 10E
0 3F 0 1 0 5E 0 10F
0 3F 0 1 0 5F 0 0x110
0 3F 0 1 0 5F 0 0x111
0 3F 0 1 0 0x60 0 0x112
0 3F 0 1 0 0x60 0 0x113
0 3F 0 1 0 0x61 0 0x114
0 3F 0 1 0 0x61 0 0x115
0 3F 0 1 0 0x62 0 0x116
0 3F 0 1 1 0x62 0 0x117
0 3F 0 1 1 0x62 0 0x118
0 3F 0 1 0 0x62 0 0x119
0 3F 0 1 0 0x63 0 11A
0 3F 0 1 1 0x63 0 11B
0 3F 0 1 0 0x63 0 11C
0 3F 0 1 0 0x64 0 11D
0 3F 0 1 0 0x64 0 11E
0 3F 0 1 0 0x65 0 11F
0 3F 0 1 0 0x65 0 0x120
0 3F 0 1 0 0x66 0 0x121
0 3F 0 1 0 0x66 0 0x122
0 3F 0 1 0 0x67 0 0x123
0 3F 0 1 0 0x67 0 0x124
0 3F 0 1 0 0x68 0 0x125
0 3F 0 1 0 0x68 0 0x126
0 3F 0 1 0 0x69 0 0x127
0 3F 0 1 0 0x69 0 0x128
0 3F 0 1 0 6A 0 0x129
0 3F 0 1 1 6A 0 12A
0 3F 0 1 0 6A 0 12B
0 3F 0 1 0 6B 0 12C
0 3F 0 1 0 6B 0 12D
0 3F 0 1 0 6C 0 12E
0 3F 0 1 1 6C 0 12F
0 3F 0 1 1 6C 0 0x130
0 3F 0 1 0 6C 0 0x131
0 3F 0 1 0 6D 0 0x132
0 3F 0 1 1 6D 0 0x133
0 3F 0 1 0 6D 0 0x134
0 3F 0 1 0 6E 0 0x135
0 3F 0 1 1 6E 0 0x136
0 3F 0 1 0 6E 0 0x137
0 3F 0 1 0 6F 0 0x138
0 3F 0 1 0 6F 0 0x139
0 3F 0 1 0 0x70 0 13A
0 3F 0 1 0 0x70 0 13B
0 3F 0 1 0 0x71 0 13C
0 3F 0 1 1 0x71 0 13D
0 3F 0 1 0 0x71 0 13E
0 3F 0 1 0 0x72 0 13F
0 3F 0 1 0 0x72 0 0x140
0 3F 0 1 0 0x73 0 0x141
0 3F 0 1 0 0x73 0 0x142
0 3F 0 1 0 0x74 0 0x143
0 3F 0 1 0 0x74 0 0x144
0 3F 0 1 0 0x75 0 0x145
0 3F 0 1 1 0x75 0 0x146
0 3F 0 1 0 0x75 0 0x147
0 3F 0 1 0 0x76 0 0x148
0 3F 0 1 0 0x76 0 0x149
0 3F 0 1 0 0x77 0 14A
0 3F 0 1 0 0x77 0 14B
0 3F 0 1 0 0x78 0 14C
0 3F 0 1 0 0x78 0 14D
0 3F 0 1 0 0x79 0 14E
0 3F 0 1 0 0x79 0 14F
0 3F 0 1 0 7A 0 0x150
0 3F 0 1 1 7A 0 0x151
0 3F 0 1 0 7A 0 0x152
0 3F 0 1 0 7B 0 0x153
0 3F 0 1 0 7B 0 0x154
0 3F 0 1 0 7C 0 0x155
0 3F 0 1 0 7C 0 0x156
0 3F 0 1 0 7D 0 0x157
0 3F 0 1 0 7D 0 0x158
0 3F 0 1 0 7E 0 0x159
0 3F 0 1 0 7E 0 15A
0 3F 0 1 0 7F 0 15B
0 3F 0 1 0 7F 0 15C
0 3F 0 1 0 0x80 0 15D
0 3F 0 1 0 0x80 0 15E
0 3F 0 1 0 0x81 0 15F
0 3F 0 1 0 0x81 0 0x160
0 3F 0 1 0 0x82 0 0x161
0 3F 0 1 1 0x82 0 0x162
0 3F 0 1 0 0x82 0 0x163
0 3F 0 1 0 0x83 0 0x164
0 3F 0 1 0 0x83 0 0x165
0 3F 0 1 0 0x84 0 0x166
0 3F 0 1 0 0x84 0 0x167
0 3F 0 1 0 0x85 0 0x168
0 3F 0 1 0 0x85 0 0x169
0 3F 0 1 0 0x86 0 16A
0 3F 0 1 1 0x86 0 16B
0 3F 0 1 0 0x86 0 16C
0 3F 0 1 0 0x87 0 16D
0 3F 0 1 0 0x87 0 16E
0 3F 0 1 0 0x88 0 16F
0 3F 0 1 1 0x88 0 0x170
0 3F 0 1 0 0x88 0 0x171
0 3F 0 1 0 0x89 0 0x172
0 3F 0 1 0 0x89 0 0x173
0 3F 0 1 0 8A 0 0x174
0 3F 0 1 0 8A 0 0x175
0 3F 0 1 0 8B 0 0x176
0 3F 0 1 0 8B 0 0x177
0 3F 0 1 0 8C 0 0x178
0 3F 0 1 0 8C 0 0x179
0 3F 0 1 0 8D 0 17A
0 3F 0 1 0 8D 0 17B
0 3F 0 1 0 8E 0 17C
0 3F 0 1 1 8E 0 17D
0 3F 0 1 0 8E 0 17E
0 3F 0 1 0 8F 0 17F
0 3F 0 1 0 8F 0 0x180
0 3F 0 1 0 0x90 0 0x181
0 3F 0 1 0 0x90 0 0x182
0 3F 0 1 0 0x91 0 0x183
0 3F 0 1 0 0x91 0 0x184
0 3F 0 1 0 0x92 0 0x185
0 3F 0 1 0 0x92 0 0x186
0 3F 0 1 0 0x93 0 0x187
